Foot Left X, Y, Z, Ankle Left X, Y, Z, Knee Left X, Y, Z, Hip Left X, Y, Z, Foot Right X, Y, Z, Ankle Right X, Y, Z, Knee Right X, Y, Z, Hip Right X, Y, Z, Hip Center X, Y, Z 
-0.25108,-0.321309,2.66225,-0.216232,0.0847879,2.69495,-0.11644,-0.781944,3.00539,-0.129913,-0.689338,3.03257,-0.0382466,-0.31045,2.77415,-0.0593816,0.0796088,2.71477,-0.139828,0.0833985,2.74473,-0.219608,-0.814392,2.5424,-0.219608,-0.814392,2.5424
-0.242211,-0.727074,2.67261,-0.25256,-0.319236,2.65126,-0.216672,0.0841755,2.66587,-0.101931,-0.763387,2.95307,-0.118109,-0.670617,2.99415,-0.0236254,-0.304844,2.71946,-0.0597999,0.0807638,2.68624,-0.140286,0.0836987,2.71588,-0.140286,0.0836987,2.71588
-0.219342,-0.815852,2.54367,-0.242052,-0.723803,2.66956,-0.253848,-0.318337,2.64152,-0.216308,0.0810037,2.64421,-0.0969052,-0.752957,2.91808,-0.0995752,-0.659957,2.93894,-0.0136379,-0.291523,2.66478,-0.059621,0.0805936,2.66423,-0.059621,0.0805936,2.66423
-0.140028,0.0820131,2.69409,-0.219082,-0.817202,2.54511,-0.242213,-0.719368,2.6666,-0.253512,-0.315758,2.62583,-0.214841,0.0772127,2.61988,-0.0679629,-0.772598,2.84142,-0.0849415,-0.680707,2.884,-0.00982632,-0.298672,2.62366,-0.00982632,-0.298672,2.62366
-0.0586794,0.0787937,2.63725,-0.138819,0.0791595,2.66841,-0.219039,-0.817137,2.54575,-0.241653,-0.71877,2.66561,-0.253452,-0.311941,2.60999,-0.211604,0.0748079,2.59353,-0.0390451,-0.785944,2.74932,-0.0609992,-0.698335,2.81116,-0.0609992,-0.698335,2.81116
-0.00388001,-0.304326,2.58922,-0.0563127,0.0776274,2.61497,-0.13601,0.0773987,2.64411,-0.218712,-0.816948,2.54907,-0.240961,-0.716801,2.66449,-0.25145,-0.308435,2.59634,-0.20773,0.0739616,2.57697,-0.00817108,-0.802246,2.66406,-0.00817108,-0.802246,2.66406
-0.0373794,-0.718377,2.7329,-0.000249186,-0.308668,2.55717,-0.0521548,0.0783017,2.5921,-0.131927,0.0772494,2.62449,-0.216532,-0.811643,2.56101,-0.239356,-0.71156,2.66173,-0.248822,-0.306119,2.58637,-0.201674,0.0704176,2.55679,-0.201674,0.0704176,2.55679
0.0168457,-0.811523,2.58594,-0.00967328,-0.716659,2.65862,0.00901449,-0.320654,2.52669,-0.0460559,0.0779638,2.57322,-0.125769,0.0753504,2.60486,-0.216859,-0.810846,2.56231,-0.238877,-0.711204,2.65998,-0.245693,-0.302841,2.56864,-0.245693,-0.302841,2.56864
-0.193554,0.0676588,2.53662,0.0451355,-0.822754,2.48633,0.0156694,-0.72488,2.57647,0.0186858,-0.321243,2.49067,-0.0391136,0.0772962,2.55527,-0.118155,0.0736473,2.58579,-0.216834,-0.810878,2.5624,-0.238245,-0.711702,2.65809,-0.238245,-0.711702,2.65809
-0.242322,-0.304488,2.55888,-0.183415,0.0633652,2.51539,0.0723877,-0.826172,2.38672,0.0411716,-0.742514,2.49818,0.024761,-0.324785,2.47022,-0.0285542,0.0747201,2.53308,-0.107649,0.0701348,2.56406,-0.216639,-0.811152,2.56318,-0.216639,-0.811152,2.56318
-0.237109,-0.712132,2.65605,-0.239212,-0.306065,2.54919,-0.174683,0.0586598,2.49483,0.0992432,-0.826172,2.30078,0.063969,-0.742833,2.42189,0.0344573,-0.339411,2.44733,-0.0215906,0.0706964,2.51522,-0.0997111,0.0657145,2.54487,-0.0997111,0.0657145,2.54487
-0.216816,-0.811104,2.56343,-0.236144,-0.712436,2.65553,-0.235813,-0.309372,2.53559,-0.164803,0.0537958,2.47583,0.117991,-0.819914,2.23443,0.0819099,-0.73812,2.36714,0.0471147,-0.353647,2.42324,-0.0109569,0.065225,2.49282,-0.0109569,0.065225,2.49282
